method,spamming_rate,divisiveness_rate,competence_correlation,majority_competence_correlation,minority_competence_correlation
MACE,0.0,0.0,,,
NUTMEG,0.0,0.0,,,
MACE,0.0,0.1,,,
NUTMEG,0.0,0.1,,,
MACE,0.0,0.2,,,
NUTMEG,0.0,0.2,,,
MACE,0.0,0.3,,,
NUTMEG,0.0,0.3,,,
MACE,0.0,0.4,,,
NUTMEG,0.0,0.4,,,
MACE,0.0,0.5,,,
NUTMEG,0.0,0.5,,,
MACE,0.0,0.6,,,
NUTMEG,0.0,0.6,,,
MACE,0.0,0.7,,,
NUTMEG,0.0,0.7,,,
MACE,0.0,0.8,,,
NUTMEG,0.0,0.8,,,
MACE,0.0,0.9,,,
NUTMEG,0.0,0.9,,,
MACE,0.0,1.0,,,
NUTMEG,0.0,1.0,,,
MACE,0.05,0.0,0.9547984718076127,0.9503626206404691,0.9695809584919345
NUTMEG,0.05,0.0,0.8315066818515625,0.87729625326486,0.6695265563967598
MACE,0.05,0.1,0.8005831568598254,0.8439927354948703,0.13666553001979143
NUTMEG,0.05,0.1,0.8532625255724424,0.8523826732040883,0.27600992978464634
MACE,0.05,0.2,0.4726549723441824,0.5387669783455493,-0.12082708065773982
NUTMEG,0.05,0.2,0.7677347729585068,0.7993748051419968,-0.05479065755771969
MACE,0.05,0.3,0.26425184756203807,0.33855285175506894,-0.0055425584768774355
NUTMEG,0.05,0.3,0.7679428044218876,0.7561689592255683,0.9900318420739246
MACE,0.05,0.4,0.16994215677568061,0.15498390348832655,0.2301538229911075
NUTMEG,0.05,0.4,0.7726290843570593,0.7616599730702023,0.8786242936900063
MACE,0.05,0.5,0.2463348771441494,0.2848611198347325,0.16702740017917142
NUTMEG,0.05,0.5,0.7579280495033006,0.7582017607931726,0.02573791629738806
MACE,0.05,0.6,0.1604031977827601,0.11837710360307953,0.2715768301389466
NUTMEG,0.05,0.6,0.6507130576146167,0.6056177895313516,0.7944303131417676
MACE,0.05,0.7,0.21905030394244634,0.2701548554182708,-0.12313866019871555
NUTMEG,0.05,0.7,0.8496375390028809,0.850729134085964,0.28345794969647087
MACE,0.05,0.8,0.2043982870658332,0.19409742849786246,0.26727887016789414
NUTMEG,0.05,0.8,0.8444226686672104,0.8343891154110794,0.8962925677958757
MACE,0.05,0.9,0.236068464481488,0.22725919762688912,0.2681723823620865
NUTMEG,0.05,0.9,0.8586092785042346,0.8767914742806346,0.7880783857831498
MACE,0.05,1.0,0.22151958003023667,0.22116400517386756,0.28901685629589996
NUTMEG,0.05,1.0,0.755944381218304,0.7684990527672588,0.5985667113759181
MACE,0.1,0.0,0.908221594168266,0.9131808016829499,0.9313395018221869
NUTMEG,0.1,0.0,0.7532642084403846,0.7977650132208162,0.11536698158710919
MACE,0.1,0.1,0.8207190297032335,0.8138358930991381,0.9436621829444727
NUTMEG,0.1,0.1,0.8157520766669727,0.8386494867530785,0.7755725883949371
MACE,0.1,0.2,0.6339565147635657,0.6226565279805685,0.6515540270369483
NUTMEG,0.1,0.2,0.8193587161909677,0.7719921337097979,0.9109535687223448
MACE,0.1,0.3,0.48125196286051813,0.5031506465557312,0.4431733755642064
NUTMEG,0.1,0.3,0.7918107611758793,0.785108041602189,0.9062472957772795
MACE,0.1,0.4,0.3391405108389301,0.3984998844578993,0.20541328768246941
NUTMEG,0.1,0.4,0.763445779100444,0.7647456352862242,0.7111060614869953
MACE,0.1,0.5,0.30443595135689344,0.36210075408267933,0.15093041308725536
NUTMEG,0.1,0.5,0.7408545993532453,0.7122907798621028,0.8853488429844388
MACE,0.1,0.6,0.30332279777718063,0.40009677397952353,-0.07504741844827859
NUTMEG,0.1,0.6,0.7768141449464729,0.8108421296922267,0.5343394341744347
MACE,0.1,0.7,0.2835780027303065,0.3416202870714681,0.10338039732325068
NUTMEG,0.1,0.7,0.8022706580553588,0.8164039436135578,0.7413505135709579
