method,spamming_rate,divisiveness_rate,majority_accuracy,minority_accuracy
BCC,0.0,0.0,1.0,1.0
D&S,0.0,0.0,1.0,1.0
LFC,0.0,0.0,1.0,1.0
MACE,0.0,0.0,1.0,1.0
Majority Vote,0.0,0.0,1.0,1.0
NUTMEG,0.0,0.0,1.0,0.854
BCC,0.0,0.1,0.996,0.912
D&S,0.0,0.1,0.998,0.91
LFC,0.0,0.1,0.996,0.912
MACE,0.0,0.1,0.998,0.91
Majority Vote,0.0,0.1,0.996,0.912
NUTMEG,0.0,0.1,1.0,0.844
BCC,0.0,0.2,0.996,0.796
D&S,0.0,0.2,0.996,0.796
LFC,0.0,0.2,0.996,0.796
MACE,0.0,0.2,1.0,0.792
Majority Vote,0.0,0.2,0.988,0.804
NUTMEG,0.0,0.2,1.0,0.832
BCC,0.0,0.3,0.998,0.678
D&S,0.0,0.3,0.998,0.678
LFC,0.0,0.3,0.998,0.678
MACE,0.0,0.3,0.998,0.678
Majority Vote,0.0,0.3,0.976,0.7
NUTMEG,0.0,0.3,1.0,0.842
BCC,0.0,0.4,0.998,0.594
D&S,0.0,0.4,0.998,0.594
LFC,0.0,0.4,0.998,0.594
MACE,0.0,0.4,0.998,0.594
Majority Vote,0.0,0.4,0.974,0.618
NUTMEG,0.0,0.4,1.0,0.814
BCC,0.0,0.5,1.0,0.53
D&S,0.0,0.5,1.0,0.53
LFC,0.0,0.5,1.0,0.53
MACE,0.0,0.5,1.0,0.53
Majority Vote,0.0,0.5,0.966,0.564
NUTMEG,0.0,0.5,1.0,0.808
BCC,0.0,0.6,1.0,0.408
D&S,0.0,0.6,1.0,0.408
LFC,0.0,0.6,1.0,0.408
MACE,0.0,0.6,1.0,0.408
Majority Vote,0.0,0.6,0.98,0.428
NUTMEG,0.0,0.6,1.0,0.83
BCC,0.0,0.7,1.0,0.324
D&S,0.0,0.7,1.0,0.324
LFC,0.0,0.7,1.0,0.324
MACE,0.0,0.7,1.0,0.324
Majority Vote,0.0,0.7,0.958,0.366
NUTMEG,0.0,0.7,1.0,0.854
BCC,0.0,0.8,0.998,0.206
D&S,0.0,0.8,0.998,0.206
LFC,0.0,0.8,0.998,0.206
MACE,0.0,0.8,1.0,0.208
Majority Vote,0.0,0.8,0.956,0.252
NUTMEG,0.0,0.8,1.0,0.828
BCC,0.0,0.9,1.0,0.092
D&S,0.0,0.9,1.0,0.092
LFC,0.0,0.9,1.0,0.092
MACE,0.0,0.9,1.0,0.092
Majority Vote,0.0,0.9,0.956,0.136
NUTMEG,0.0,0.9,1.0,0.842
BCC,0.0,1.0,1.0,0.0
D&S,0.0,1.0,1.0,0.0
LFC,0.0,1.0,1.0,0.0
MACE,0.0,1.0,1.0,0.0
