method,spamming_rate,divisiveness_rate,majority_accuracy,minority_accuracy,majority_f1,minority_f1
MACE,0.0,0.0,1.0,1.0,1.0,1.0
NUTMEG,0.0,0.0,1.0,0.854,1.0,0.8703374777975134
MACE,0.0,0.1,0.996,0.896,0.9957627118644068,0.8916666666666667
NUTMEG,0.0,0.1,1.0,0.844,1.0,0.8626760563380281
MACE,0.0,0.2,1.0,0.792,1.0,0.7860082304526749
NUTMEG,0.0,0.2,1.0,0.832,1.0,0.8536585365853658
MACE,0.0,0.3,0.998,0.694,0.9980353634577604,0.6933867735470942
NUTMEG,0.0,0.3,1.0,0.842,1.0,0.8611599297012302
MACE,0.0,0.4,1.0,0.58,1.0,0.5783132530120482
NUTMEG,0.0,0.4,1.0,0.814,1.0,0.8404802744425386
MACE,0.0,0.5,1.0,0.494,1.0,0.5009861932938856
NUTMEG,0.0,0.5,1.0,0.808,1.0,0.8361774744027304
MACE,0.0,0.6,1.0,0.42,1.0,0.4105691056910569
NUTMEG,0.0,0.6,1.0,0.83,1.0,0.7901234567901234
MACE,0.0,0.7,1.0,0.308,1.0,0.2938775510204082
NUTMEG,0.0,0.7,1.0,0.854,1.0,0.8249400479616307
MACE,0.0,0.8,0.998,0.21,0.9980732177263968,0.2178217821782178
NUTMEG,0.0,0.8,1.0,0.828,1.0,0.7871287128712872
MACE,0.0,0.9,1.0,0.108,1.0,0.1220472440944882
NUTMEG,0.0,0.9,1.0,0.842,1.0,0.8077858880778589
MACE,0.0,1.0,1.0,0.0,1.0,0.0
NUTMEG,0.0,1.0,1.0,0.832,1.0,0.8536585365853658
MACE,0.05,0.0,1.0,1.0,1.0,1.0
NUTMEG,0.05,0.0,1.0,0.794,1.0,0.7716186252771619
MACE,0.05,0.1,0.998,0.92,0.998109640831758,0.925925925925926
NUTMEG,0.05,0.1,1.0,0.836,1.0,0.8247863247863247
MACE,0.05,0.2,0.998,0.806,0.9981024667931688,0.8200371057513914
NUTMEG,0.05,0.2,1.0,0.794,1.0,0.7726269315673289
MACE,0.05,0.3,1.0,0.706,1.0,0.7210626185958254
NUTMEG,0.05,0.3,0.998,0.816,0.9980119284294234,0.8017241379310345
MACE,0.05,0.4,1.0,0.602,1.0,0.6180422264875239
NUTMEG,0.05,0.4,1.0,0.826,1.0,0.8137044967880086
MACE,0.05,0.5,0.994,0.512,0.9936575052854124,0.5234375
NUTMEG,0.05,0.5,0.996,0.822,0.9957805907172996,0.8110403397027601
MACE,0.05,0.6,1.0,0.398,1.0,0.4310018903591682
NUTMEG,0.05,0.6,1.0,0.842,1.0,0.8731942215088283
